Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
D101 D102 D103 D104,4,STPS20M100ST,wpc_cost:TO220_Schottky_AKA_5772,STMicroelectronics,STPS20M100ST,"Schottky rectifier 100 V 20 A TO-220AB, physical leads A-K-A; individual 577202B00000G heatsink required",https://jlcpcb.com/partdetail/STMicroelectronics-STPS20M100ST/C222114,
D105 D106 D107 D108 D109 D110 D111 D112 D113 D114 D115 D116,12,STPS20M100S,wpc_cost:D2PAK_Schottky_AKA,STMicroelectronics,STPS20M100SG-TR,"Schottky rectifier 100 V 20 A D2PAK - discrete bridge element +5V raw supply, AC_A -> +",https://jlcpcb.com/partdetail/STMicroelectronics-STPS20M100SGTR/C969989,
F103 F104 F105 F116,4,3A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239003.MXP,"Fuse 3 A Slo-Blo 5x20 mm (Keystone 3517 clips), +50V to J107-1 sol 25-28 / 8-driver",https://jlcpcb.com/partdetail/Littelfuse-0239003MXP/C142824,
F111 F113 F106 F107 F108 F109 F110,7,5A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239005.MXP,"Fuse 5A S.B. 5x20 mm (Keystone 3517 clips), +20V flashlamp supply",https://jlcpcb.com/partdetail/Littelfuse-0239005MXP/C151086,
F112,1,7A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239007.MXP,"Fuse 7A S.B. 5x20 mm (Keystone 3517 clips), +50V solenoid supply (51 VAC winding -> ~70 V DC, 78 V peak unloaded)",https://jlcpcb.com/partdetail/Littelfuse-0239007MXP/C3161084,
F114,1,8A,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0217008.MXP,"Fuse 8A 5x20 mm (Keystone 3517 clips), +18V lamp matrix supply (13.3 VAC); also feeds the +12V digital buck-boost U21",https://jlcpcb.com/partdetail/Littelfuse-0217008MXP/C2936126,
F115,1,3/4A S.B.,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Littelfuse,0239.750MXP,"Fuse 3/4 A Slo-Blo 5x20 mm (Keystone 3517 clips), +12V switch matrix",https://jlcpcb.com/partdetail/Littelfuse-0239750MXP/C3157012,
J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,MOLEX,26604070,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),https://jlcpcb.com/partdetail/C587091,
J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J103,1,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,MOLEX,26604040,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",https://jlcpcb.com/partdetail/C240824,
J104,1,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",https://jlcpcb.com/partdetail/C505166,
J106,1,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",https://jlcpcb.com/partdetail/C505166,
J107,1,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical,MOLEX,0026604060,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",https://jlcpcb.com/partdetail/MOLEX-0026604060/C17656945,
J108,1,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,MOLEX,26604030,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),https://jlcpcb.com/partdetail/C240823,
J109,1,J109 spare (N/C),Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,MOLEX,26604070,J109 spare (N/C),https://jlcpcb.com/partdetail/C587091,
J110,1,J110 spare (N/C),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J110 spare (N/C),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J112,1,J112 xformer 9.8VAC (Wht-Grn),Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,J112 xformer 9.8VAC (Wht-Grn),https://jlcpcb.com/partdetail/C505166,
J114,1,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,MOLEX,26604070,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",https://jlcpcb.com/partdetail/C587091,
J116,1,J116 +12V power (unregulated) / GND / +5V to coin door,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,MOLEX,26604040,J116 +12V power (unregulated) / GND / +5V to coin door,https://jlcpcb.com/partdetail/C240824,
J117,1,J117 +12V power (unregulated) / GND / +5V to DMD controller,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,MOLEX,26604040,J117 +12V power (unregulated) / GND / +5V to DMD controller,https://jlcpcb.com/partdetail/C240824,
J118,1,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,MOLEX,26604040,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",https://jlcpcb.com/partdetail/C240824,
L1 L2,2,10uH,Inductor_SMD:L_Bourns_SRP1245A,BOURNS,SRP1265A-100M,10 uH buck-boost inductor; 15.5 A saturation rating,https://jlcpcb.com/partdetail/BOURNS-SRP1265A100M/C840531,
LED1 LED2 LED4 LED5 LED6 LED7,6,LED red,LED_SMD:LED_0805_2012Metric,Foshan NationStar Optoelectronics,NCD0805R1,"LED red 0805, +12V indicator",https://jlcpcb.com/partdetail/85425-NCD0805R1/C84256,
R192 R8 R11 R14 R17 R20,6,470,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F4700T5E,LED series resistor 470 ohm 1% 125 mW,https://jlcpcb.com/partdetail/C17710,
R193 R177 R179 R181 R183 R185 R187 R189 R191 R154 R156 R158 R160 R162 R164 R166 R168 R170,18,1K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F1001T5E,LED series resistor 1K,https://jlcpcb.com/partdetail/18201-0805W8F1001T5E/C17513,
R194 R196 R250 R251 R253 R254 R255 R256 R176 R178 R180 R182 R184 R186 R188 R190,16,1.5K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F1501T5E,LED series resistor 1.5K,https://jlcpcb.com/partdetail/4717-0805W8F1501T5E/C4310,
R259 R260,2,15K,Resistor_SMD:R_2512_6332Metric,YAGEO,RC2512JK-0715KL,Resistor 15K 1 W 2512 bleeder (parallel to R260),https://jlcpcb.com/partdetail/YAGEO-RC2512JK0715KL/C1882622,
R261,1,118K,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-07118KL,"TPS552892 UVLO upper resistor; 1.23 V EN reference, 5 uA hysteresis",https://jlcpcb.com/partdetail/YAGEO-RC0805FR07118KL/C274001,
R262,1,29.4K,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-0729K4L,TPS552892 UVLO lower resistor,https://jlcpcb.com/partdetail/YAGEO-RC0805FR0729K4L/C273956,
R263 R269,2,49.9K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F4992T5E,"395 kHz nominal, TI equation 3",https://jlcpcb.com/partdetail/C17719,
R264,1,6.65K,Resistor_SMD:R_0805_2012Metric,YAGEO,RT0805BRD076K65L,Feedback upper resistor; 1.2 V reference; sense after output shunt,https://jlcpcb.com/partdetail/C865625,
R265,1,2.1K,Resistor_SMD:R_0805_2012Metric,YAGEO,RT0805BRD072K1L,0.1% feedback lower resistor,https://jlcpcb.com/partdetail/YAGEO-RT0805BRD072K1L/C865367,
R266,1,33.2K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F3322T5E,Outer voltage-loop compensation resistor,https://jlcpcb.com/partdetail/C37252,
R267,1,130K,Resistor_SMD:R_0805_2012Metric,YAGEO,RC0805FR-07130KL,"TPS552892 UVLO upper resistor; 1.23 V EN reference, 5 uA hysteresis",https://jlcpcb.com/partdetail/YAGEO-RC0805FR07130KL/C483008,
R268,1,20K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F2002T5E,TPS552892 UVLO lower resistor,https://jlcpcb.com/partdetail/4735-0805W8F2002T5E/C4328,
R270,1,18K,Resistor_SMD:R_0805_2012Metric,YAGEO,RT0805BRD0718KL,Feedback upper resistor; 1.2 V reference; sense after output shunt,https://jlcpcb.com/partdetail/C706223,
R271,1,2K,Resistor_SMD:R_0805_2012Metric,YAGEO,RT0805BRD072KL,0.1% feedback lower resistor,https://jlcpcb.com/partdetail/C865384,
R272,1,42.2K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F4222T5E,Outer voltage-loop compensation resistor,https://jlcpcb.com/partdetail/C17686,
R326,1,13m,Resistor_SMD:R_2512_6332Metric,YAGEO,RL2512FK-070R013L,"1 W, 1% output-current shunt; Kelvin ISP/ISN routing",https://jlcpcb.com/partdetail/C705606,
R327,1,33m,Resistor_SMD:R_2512_6332Metric,YAGEO,RL2512FK-070R033L,"1 W, 1% output-current shunt; Kelvin ISP/ISN routing",https://jlcpcb.com/partdetail/C705608,
U20 U21,2,TPS552892RYQR,wpc_cost:TI_RYQ0021B_5x3mm,Texas Instruments,TPS552892RYQR,36 V synchronous buck-boost; PFM; internal VCC; output current limit; JLC-3,https://jlcpcb.com/partdetail/C19272254,
C21,1,10nF,Capacitor_SMD:C_0805_2012Metric,Samsung Electro-Mechanics,CL21B103KBANNNC,Capacitor 10 nF (ZC filter),https://jlcpcb.com/partdetail/2062-CL21B103KBANNNC/C1710,
J111,1,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,MOLEX,22232051,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",https://jlcpcb.com/partdetail/C588986,
J113,1,34-pin ribbon to CPU J211,wpc_cost:3M_N2534_6002_RB,3M,N2534-6002-RB,J113 34-pin 2x17 box header (ribbon to CPU J211),https://jlcpcb.com/partdetail/3M-N2534_6002RB/C17502444,
LED3,1,LED red (ZC),LED_SMD:LED_0805_2012Metric,Foshan NationStar Optoelectronics,NCD0805R1,"LED red 0805, zero-cross activity",https://jlcpcb.com/partdetail/85425-NCD0805R1/C84256,
R3 R4 R6 R197 R126 R128 R130 R132 R134 R136 R138 R140 R71 R75 R79 R83 R87 R91 R95 R99 R39 R43 R47 R51 R55 R59 R63 R67 R23 R27 R31 R35 R142 R143 R144 R145 R146 R147 R148 R149 R301 R302 R303 R304 R305 R306 R307 R308 R9 R12 R15 R18 R21,53,10K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F1002T5E,"Resistor 10K 1% 0.125 W, 0805",https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,
R206,1,27K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F2702T5E,Resistor 27K 1% 0805 (ZC threshold ~0.26 V),https://jlcpcb.com/partdetail/18281-0805W8F2702T5E/C17593,
R310 R311 R312 R313 R314 R315 R316 R317 R318 R319 R320 R321 R322 R323 R324 R325,16,4.7K,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F4701T5E,4.7 kohm 1% 125 mW 0805 discrete CPU-interface pull-up,https://jlcpcb.com/partdetail/UNIROYAL-UniroyalElec-0805W8F4701T5E/C17673,
U6 U15 U16,3,LM339DR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,Texas Instruments,LM339DR,"Quad comparator, SOIC-14",https://jlcpcb.com/partdetail/TexasInstruments-LM339DR/C7948,
U9,1,74HCT240,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,Texas Instruments,SN74HCT240DWR,J113 data-bus inverter: the CPU board drives the ribbon data through a 74LS240 (active low),https://jlcpcb.com/partdetail/TexasInstruments-SN74HCT240DWR/C132264,
D25 D26 D27 D28 D29 D30 D31 D32 D17 D18 D19 D20 D21 D22 D23 D24 D5 D6 D7 D8,20,S3M-13-F,Diode_SMD:D_SMC,Diodes Incorporated,S3M-13-F,"Rectifier 3 A 1000 V, SMC (tie-back)",https://jlcpcb.com/partdetail/DiodesIncorporated-S3M_13F/C460944,
J130,1,J130 Sol 1-8 drive (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J130 Sol 1-8 drive (playfield),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J131,1,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
J132,1,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
Q64 Q66 Q68 Q70 Q76 Q78 Q80 Q82 Q44 Q46 Q48 Q50 Q52 Q54 Q56 Q58 Q28 Q30 Q32 Q34 Q36 Q38 Q40 Q42 Q20 Q22 Q24 Q26,28,IPD90N10S4L06ATMA1,Package_TO_SOT_SMD:TO-252-2,Infineon Technologies,IPD90N10S4L06ATMA1,"N-MOSFET 100 V, 8.1 mOhm max at 4.5 V, DPAK G-D-S, RthJA 62 C/W minimal footprint; upgraded solenoid driver",https://jlcpcb.com/partdetail/6325616-IPD90N10S4L06ATMA1/C5440942,
R127 R129 R131 R133 R135 R137 R139 R141 R70 R74 R78 R82 R86 R90 R94 R98 R38 R42 R46 R50 R54 R58 R62 R66 R22 R26 R30 R34 R155 R157 R159 R161 R165 R167 R169 R171,36,100,Resistor_SMD:R_0805_2012Metric,UNI-ROYAL(Uniroyal Elec),0805W8F1000T5E,"Resistor 100R 1% 0.125 W, 0805",https://jlcpcb.com/partdetail/18096-0805W8F1000T5E/C17408,
U5 U4 U3 U2 U18 U1,6,74HCT574,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,Texas Instruments,SN74HCT574DWR,Solenoid 1-8 latch,https://jlcpcb.com/partdetail/TexasInstruments-SN74HCT574DWR/C6788,
J127,1,J127 Sol 9-16 drive (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J127 Sol 9-16 drive (playfield),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J128,1,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
J129,1,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
D1 D2 D3 D9 D10 D11 D12 D38,8,M7,Diode_SMD:D_SMA,MDD(Microdiode Semiconductor),M7,M7 1 A 1000 V 30 A surge SMA rectifier,https://jlcpcb.com/partdetail/C95872,
J125,1,J125 Sol 17-24 drive (backbox flashers),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J125 Sol 17-24 drive (backbox flashers),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J126,1,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),Connector_Molex:Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical,MOLEX,0026604130,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),https://jlcpcb.com/partdetail/MOLEX-0026604130/C17226055,
J122,1,J122 Sol 25-28 drive + tie-back (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J122 Sol 25-28 drive + tie-back (playfield),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J123,1,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
J124,1,J124 Sol 25-28 drive (backbox),Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,J124 Sol 25-28 drive (backbox),https://jlcpcb.com/partdetail/C505166,
J136,1,J136 lamp column 8 (cabinet),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,MOLEX,26604030,J136 lamp column 8 (cabinet),https://jlcpcb.com/partdetail/C240823,
J137,1,J137 lamp columns (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J137 lamp columns (playfield),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
J138,1,J138 lamp columns (backbox),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,MOLEX,0026604090,J138 lamp columns (backbox),https://jlcpcb.com/partdetail/MOLEX-0026604090/C17420444,
Q91 Q92 Q93 Q94 Q95 Q96 Q97 Q98,8,IRFR5305TRPBF,Package_TO_SOT_SMD:TO-252-2,Infineon Technologies,IRFR5305TRPBF,"P-MOSFET -55 V -31 A 65 mOhm @-10 V, DPAK (TO-252)",https://jlcpcb.com/partdetail/InfineonTechnologies-IRFR5305TRPBF/C2624,
U19,1,TBD62083AFWG,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,TOSHIBA,"TBD62083AFWG,EL","8-ch DMOS sink driver (ULN2803 pin-compatible), SOIC-18W",https://jlcpcb.com/partdetail/TOSHIBA-TBD62083AFWGEL/C165895,
D33 D34,2,1N4148W,Diode_SMD:D_SOD-123,ST(Semtech),1N4148W,"Small-signal diode 75 V 150 mA, SOD-123",https://jlcpcb.com/partdetail/ST_Semtech-1N4148W/C81598,
J133,1,J133 lamp rows (cabinet),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,MOLEX,22232091,J133 lamp rows (cabinet),https://jlcpcb.com/partdetail/C587032,
J134,1,J134 lamp rows (spare),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,MOLEX,22232091,J134 lamp rows (spare),https://jlcpcb.com/partdetail/C587032,
J135,1,J135 lamp rows (playfield),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,MOLEX,22232091,J135 lamp rows (playfield),https://jlcpcb.com/partdetail/C587032,
Q83 Q84 Q85 Q86 Q87 Q88 Q89 Q90,8,IRLR024NTRPBF,Package_TO_SOT_SMD:TO-252-2,Infineon Technologies,IRLR024NTRPBF,"N-MOSFET 55 V 17 A 65 mOhm @10 V / 40 mOhm @4.5 V logic-level, DPAK (TO-252)",https://jlcpcb.com/partdetail/InfineonTechnologies-IRLR024NTRPBF/C3007,
R150 R151 R152 R153 R172 R173 R174 R175,8,0.22R,Resistor_SMD:R_2512_6332Metric,YAGEO,RL2512FK-070R22L,"Resistor 0.22 R 1% 1 W current sense, 2512",https://jlcpcb.com/partdetail/YAGEO-RL2512FK070R22L/C705613,
U10 U11 U12 U13,4,74HCT74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,Texas Instruments,SN74HCT74DR,"Dual D flip-flop with preset/clear, SOIC-14",https://jlcpcb.com/partdetail/TexasInstruments-SN74HCT74DR/C352961,
F101 F102,4,no fuse (clips only),Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Keystone,3517,"Fuse clips only (left flipper fuse, not used on Fliptronic games)",https://jlcpcb.com/partdetail/Keystone-3517/C3029536,
J105,1,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,MOLEX,26604050,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",https://jlcpcb.com/partdetail/C505166,
J115,1,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",Connector_Molex:Molex_KK-396_A-41791-0012_1x12_P3.96mm_Vertical,MOLEX,26-60-4120,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",https://jlcpcb.com/partdetail/C7426778,
J119,1,J119 G.I. coin door (string 5),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,MOLEX,26604030,J119 G.I. coin door (string 5),https://jlcpcb.com/partdetail/C240823,
J120,1,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,MOLEX,26604110,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",https://jlcpcb.com/partdetail/MOLEX-26604110/C17541501,
J121,1,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,MOLEX,26604110,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",https://jlcpcb.com/partdetail/MOLEX-26604110/C17541501,
Q9 Q11 Q13 Q15 Q17,5,MMBT4401,Package_TO_SOT_SMD:SOT-23,Diodes Incorporated,MMBT4401-7-F,NPN emitter follower (triac gate drive),https://jlcpcb.com/partdetail/DiodesIncorporated-MMBT4401_7F/C151826,
Q10 Q12 Q14 Q16 Q18,5,BTA16-600CRG,Package_TO_SOT_THT:TO-220-3_Vertical,STMicroelectronics,BTA16-600CRG,"Triac 16 A 600 V, 4-quadrant (Igt 25/50 mA), insulated TO-220AB",https://jlcpcb.com/partdetail/STMicroelectronics-BTA16600CRG/C39797,
R7 R10 R13 R16 R19,5,27,Resistor_SMD:R_2512_6332Metric,YAGEO,RC2512JK-0727RL,Resistor 27 R 5% 1 W 2512 (triac gate),https://jlcpcb.com/partdetail/YAGEO-RC2512JK0727RL/C1882619,
W1,1,0R,Resistor_SMD:R_2512_6332Metric,YAGEO,RC2512JK-070RL,0 R link 2512: G.I. return bus (triac MT1 / J115 returns) to the logic ground reference (OEM: J115-1 GND REF at the transformer),https://jlcpcb.com/partdetail/YAGEO-RC2512JK070RL/C189505,
F103-F116 clips,28,FUSECLIP,Mechanical,Keystone,3517,"Fuse clip 5 x 20 mm PCB mount, 15 A, tin (2 per fuse)",https://www.digikey.com/en/products/detail/keystone-electronics/3517/316010,
