Designator,Quantity,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly
F109,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F110,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F111,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F112,1,7A S.B.,0239007.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3161084,Extended,Through-hole/manual
F113,1,5A S.B.,0239005.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C151086,Extended,Through-hole/manual
F114,1,8A,0217008.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C2936126,Extended,Through-hole/manual
F115,1,3/4A S.B.,0239.750MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3157012,Extended,Through-hole/manual
F116,1,3A S.B.,0239003.MXP,Littelfuse,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C142824,Extended,Through-hole/manual
F103A F103B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F104A F104B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F105A F105B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F106A F106B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F107A F107B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F108A F108B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F109A F109B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F110A F110B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F111A F111B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F112A F112B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F113A F113B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F114A F114B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F115A F115B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
F116A F116B,2,Fuse clips,3517,Keystone,Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,C3029536,Extended,Through-hole/manual
J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),26604070,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,C587091,Extended,Through-hole/manual
J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J103,1,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual
J104,1,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J105,1,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J106,1,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J107,1,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",0026604060,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0006_1x06_P3.96mm_Vertical,C17656945,Extended,Through-hole/manual
J108,1,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual
J109,1,J109 spare (N/C),26604070,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,C587091,Extended,Through-hole/manual
J110,1,J110 spare (N/C),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J111,1,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",22232051,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,C588986,Extended,Through-hole/manual
J112,1,J112 xformer 9.8VAC (Wht-Grn),26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J113,1,34-pin ribbon to CPU J211,N2534-6002-RB,3M,wpc_cost:3M_N2534_6002_RB,C17502444,Extended,Through-hole/manual
J114,1,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",26604070,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical,C587091,Extended,Through-hole/manual
J115,1,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",26-60-4120,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0012_1x12_P3.96mm_Vertical,C7426778,Extended,Through-hole/manual
J116,1,J116 +12V power (unregulated) / GND / +5V to coin door,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual
J117,1,J117 +12V power (unregulated) / GND / +5V to DMD controller,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual
J118,1,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual
J119,1,J119 G.I. coin door (string 5),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual
J120,1,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",26604110,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,C17541501,Extended,Through-hole/manual
J121,1,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",26604110,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,C17541501,Extended,Through-hole/manual
J122,1,J122 Sol 25-28 drive + tie-back (playfield),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J123,1,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J124,1,J124 Sol 25-28 drive (backbox),26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J125,1,J125 Sol 17-24 drive (backbox flashers),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J126,1,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),0026604130,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical,C17226055,Extended,Through-hole/manual
J127,1,J127 Sol 9-16 drive (playfield),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J128,1,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J129,1,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J130,1,J130 Sol 1-8 drive (playfield),0026604090,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,C17420444,Extended,Through-hole/manual
J131,1,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J132,1,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual
J133,1,J133 lamp rows (cabinet),22232091,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,C587032,Extended,Through-hole/manual
J134,1,J134 lamp rows (spare),22232091,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,C587032,Extended,Through-hole/manual
J135,1,J135 lamp rows (playfield),22232091,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,C587032,Extended,Through-hole/manual
J136,1,J136 lamp column 8 (cabinet),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual
