Refs,Qty,Value,Footprint,Manufacturer,MPN,Description,Link,DNP
L1 L2,2,10uH,Inductor_SMD:L_Bourns_SRP1245A,Bourns,SRP1265A-100M,Inductor 10 uH 10 A (SRP1265A-100M),https://www.digikey.com/en/products/detail/bourns-inc/SRP1265A-100M/4876620,
LED1 LED2 LED4 LED5 LED6 LED7,6,LED red,LED_SMD:LED_0805_2012Metric,Lite-On,LTST-C170KRKT,"LED red 0805, +12V indicator",https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779,
R192,1,270,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07270RL,LED series resistor 270,https://www.digikey.com/en/products/result?keywords=RC0805FR-07270RL,
R193 R177 R179 R181 R183 R185 R187 R189 R191 R154 R156 R158 R160 R162 R164 R166 R168 R170,18,1K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071KL,LED series resistor 1K,https://www.digikey.com/en/products/result?keywords=RC0805FR-071KL,
R194 R196 R250 R251 R253 R254 R255 R256 R176 R178 R180 R182 R184 R186 R188 R190,16,1.5K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071K5L,LED series resistor 1.5K,https://www.digikey.com/en/products/result?keywords=RC0805FR-071K5L,
R259 R260,2,15K,Resistor_SMD:R_2512_6332Metric,Yageo,RC2512JK-0715KL,Resistor 15K 1 W 2512 bleeder (parallel to R260),https://www.digikey.com/en/products/result?keywords=RC2512JK-0715KL,
R261,1,118K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07118KL,EN/UVLO divider top 118K (start 5.9 V / stop 5.5 V),https://www.digikey.com/en/products/result?keywords=RC0805FR-07118KL,
R262,1,29.4K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0729K4L,EN/UVLO divider bottom 29.4K,https://www.digikey.com/en/products/result?keywords=RC0805FR-0729K4L,
R263 R269,2,240K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07240KL,RT/CLK 240K -> 405 kHz (Rt = 101756 x fsw^-1.008),https://www.digikey.com/en/products/result?keywords=RC0805FR-07240KL,
R264,1,11.3K,Resistor_SMD:R_0805_2012Metric,Yageo,RT0805BRD0711K3L,"Feedback top 11.3K (Vout = 0.8 V x (1 + Rtop/Rbot), 0.1 % thin film)",https://www.digikey.com/en/products/result?keywords=RT0805BRD0711K3L,
R265,1,2.1K,Resistor_SMD:R_0805_2012Metric,Yageo,RT0805BRD072K1L,"Feedback bottom 2.1K, 0.1 % thin film",https://www.digikey.com/en/products/result?keywords=RT0805BRD072K1L,
R266,1,33.2K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0733K2L,Compensation Rc 33.2K (TPS54360B eq. 48),https://www.digikey.com/en/products/result?keywords=RC0805FR-0733K2L,
R267,1,130K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07130KL,EN/UVLO divider top 130K (start 8.8 V / stop 8.4 V),https://www.digikey.com/en/products/result?keywords=RC0805FR-07130KL,
R268,1,20K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0720KL,EN/UVLO divider bottom 20K,https://www.digikey.com/en/products/result?keywords=RC0805FR-0720KL,
R270,1,28K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0728KL,Feedback top 28K (Vout = 0.8 V x (1 + Rtop/Rbot)),https://www.digikey.com/en/products/result?keywords=RC0805FR-0728KL,
R271,1,2K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-072KL,Feedback bottom 2K,https://www.digikey.com/en/products/result?keywords=RC0805FR-072KL,
R272,1,42.2K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0742K2L,Compensation Rc 42.2K (TPS54360B eq. 48),https://www.digikey.com/en/products/result?keywords=RC0805FR-0742K2L,
U20 U21,2,TPS54360BDDAR,Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm,Texas Instruments,TPS54360BDDAR,+5.1 V 3 A buck converter,https://www.digikey.com/en/products/detail/texas-instruments/TPS54360BDDAR/10434703,
C21,1,10nF,Capacitor_SMD:C_0805_2012Metric,KEMET,C0805C103K5RACTU,Capacitor 10 nF (ZC filter),https://search.kemet.com/download/specsheet/C0805C103K5RACTU,
J111,1,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,Molex,0022232051,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0022232051,
J113,1,34-pin ribbon to CPU J211,wpc_cost:3M_N2534_6002_RB,3M,N2534-6002-RB,J113 34-pin 2x17 box header (ribbon to CPU J211),https://www.digikey.com/en/products/detail/3m/N2534-6002-RB/755183,
LED3,1,LED red (ZC),LED_SMD:LED_0805_2012Metric,Lite-On,LTST-C170KRKT,"LED red 0805, zero-cross activity",https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779,
R3 R4 R6 R197 R126 R128 R130 R132 R134 R136 R138 R140 R71 R75 R79 R83 R87 R91 R95 R99 R39 R43 R47 R51 R55 R59 R63 R67 R23 R27 R31 R35 R142 R143 R144 R145 R146 R147 R148 R149 R301 R302 R303 R304 R305 R306 R307 R308 R9 R12 R15 R18 R21,53,10K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0710KL,"Resistor 10K 1% 0.125 W, 0805",https://www.digikey.com/en/products/result?keywords=RC0805FR-0710KL,
R206,1,27K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0727KL,Resistor 27K 1% 0805 (ZC threshold ~0.26 V),https://www.digikey.com/en/products/result?keywords=RC0805FR-0727KL,
SR1 SR2,2,9x4.7K SIP,Resistor_THT:R_Array_SIP10,Bourns,4610X-101-472LF,Pull-ups for the seven latch strobes and BLANKING,https://www.digikey.com/en/products/result?keywords=4610X-101-472LF,
U6 U15 U16,3,LM339DR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,Texas Instruments,LM339DR,"Quad comparator, SOIC-14",https://www.digikey.com/en/products/detail/texas-instruments/LM339DR/276657,
U9,1,74HCT240,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,Nexperia,"74HCT240D,653",J113 data-bus inverter: the CPU board drives the ribbon data through a 74LS240 (active low),https://www.digikey.com/en/products/result?keywords=74HCT240D%2C653,
D25 D26 D27 D28 D29 D30 D31 D32 D17 D18 D19 D20 D21 D22 D23 D24 D5 D6 D7 D8,20,S3M-13-F,Diode_SMD:D_SMC,Diodes Inc,S3M-13-F,"Rectifier 3 A 1000 V, SMC (tie-back)",https://www.digikey.com/en/products/detail/diodes-incorporated/S3M-13-F/725029,
J130,1,J130 Sol 1-8 drive (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J130 Sol 1-8 drive (playfield),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J131,1,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
J132,1,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
Q64 Q66 Q68 Q70 Q76 Q78 Q80 Q82 Q44 Q46 Q48 Q50 Q52 Q54 Q56 Q58 Q28 Q30 Q32 Q34 Q36 Q38 Q40 Q42 Q20 Q22 Q24 Q26,28,IPD90N10S4L06ATMA1,Package_TO_SOT_SMD:TO-252-2,Infineon,IPD90N10S4L06ATMA1,"N-MOSFET 100 V, 8.1 mOhm max at 4.5 V, DPAK G-D-S, RthJA 62 C/W minimal footprint; upgraded solenoid driver",https://www.infineon.com/part/IPD90N10S4L-06,
R127 R129 R131 R133 R135 R137 R139 R141 R70 R74 R78 R82 R86 R90 R94 R98 R38 R42 R46 R50 R54 R58 R62 R66 R22 R26 R30 R34 R155 R157 R159 R161 R165 R167 R169 R171,36,100,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07100RL,"Resistor 100R 1% 0.125 W, 0805",https://www.digikey.com/en/products/result?keywords=RC0805FR-07100RL,
U5 U4 U3 U2 U18 U1,6,74HCT574,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,Nexperia,"74HCT574D,653",Solenoid 1-8 latch,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HCT574D-653/763412,
J127,1,J127 Sol 9-16 drive (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J127 Sol 9-16 drive (playfield),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J128,1,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
J129,1,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
D1 D2 D3 D9 D10 D11 D12 D38,8,S1M-13-F,Diode_SMD:D_SMA,Diodes Inc,S1M-13-F,"Rectifier 1 A 1000 V, SMA (tie-back)",https://www.digikey.com/en/products/detail/diodes-incorporated/S1M-13-F/804909,
J125,1,J125 Sol 17-24 drive (backbox flashers),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J125 Sol 17-24 drive (backbox flashers),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J126,1,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),Connector_Molex:Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical,Molex,0026604130,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),https://www.digikey.com/en/products/result?keywords=0026604130,
J122,1,J122 Sol 25-28 drive + tie-back (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J122 Sol 25-28 drive + tie-back (playfield),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J123,1,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
J124,1,J124 Sol 25-28 drive (backbox),Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,J124 Sol 25-28 drive (backbox),https://www.digikey.com/en/products/result?keywords=0026604050,
J136,1,J136 lamp column 8 (cabinet),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,Molex,0026604030,J136 lamp column 8 (cabinet),https://www.digikey.com/en/products/result?keywords=0026604030,
J137,1,J137 lamp columns (playfield),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J137 lamp columns (playfield),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
J138,1,J138 lamp columns (backbox),Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical,Molex,0026604090,J138 lamp columns (backbox),https://www.digikey.com/en/products/detail/molex/0026604090/79784,
Q91 Q92 Q93 Q94 Q95 Q96 Q97 Q98,8,IRFR5305TRPBF,Package_TO_SOT_SMD:TO-252-2,Infineon,IRFR5305TRPBF,"P-MOSFET -55 V -31 A 65 mOhm @-10 V, DPAK (TO-252)",https://www.digikey.com/en/products/detail/infineon-technologies/IRFR5305TRPBF/811407,
U19,1,TBD62083AFWG,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,Toshiba,"TBD62083AFWG,EL","8-ch DMOS sink driver (ULN2803 pin-compatible), SOIC-18W",https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TBD62083AFWG-EL/5514124,
D33 D34,2,1N4148W,Diode_SMD:D_SOD-123,Diodes Inc,1N4148W-7-F,"Small-signal diode 75 V 150 mA, SOD-123",https://www.digikey.com/en/products/result?keywords=1N4148W-7-F,
J133,1,J133 lamp rows (cabinet),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,Molex,0022232091,J133 lamp rows (cabinet),https://www.digikey.com/en/products/result?keywords=0022232091,
J134,1,J134 lamp rows (spare),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,Molex,0022232091,J134 lamp rows (spare),https://www.digikey.com/en/products/result?keywords=0022232091,
J135,1,J135 lamp rows (playfield),Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,Molex,0022232091,J135 lamp rows (playfield),https://www.digikey.com/en/products/result?keywords=0022232091,
Q83 Q84 Q85 Q86 Q87 Q88 Q89 Q90,8,IRLR024NTRPBF,Package_TO_SOT_SMD:TO-252-2,Infineon,IRLR024NTRPBF,"N-MOSFET 55 V 17 A 65 mOhm @10 V / 40 mOhm @4.5 V logic-level, DPAK (TO-252)",https://www.digikey.com/en/products/detail/infineon-technologies/IRLR024NTRPBF/812549,
R150 R151 R152 R153 R172 R173 R174 R175,8,0.22R,Resistor_SMD:R_2512_6332Metric,Yageo,RL2512FK-070R22L,"Resistor 0.22 R 1% 1 W current sense, 2512",https://www.digikey.com/en/products/detail/yageo/RL2512FK-070R22L/2827691,
U10 U11 U12 U13,4,74HCT74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,Texas Instruments,SN74HCT74DR,"Dual D flip-flop with preset/clear, SOIC-14",https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT74DR/276479,
F101 F102,4,no fuse (clips only),Fuse:Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,Keystone,3517,"Fuse clips only (left flipper fuse, not used on Fliptronic games)",https://www.digikey.com/en/products/detail/keystone-electronics/3517/316010,
J105,1,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,Molex,0026604050,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",https://www.digikey.com/en/products/result?keywords=0026604050,
J115,1,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",Connector_Molex:Molex_KK-396_A-41791-0012_1x12_P3.96mm_Vertical,Molex,0026604120,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",https://www.digikey.com/en/products/result?keywords=0026604120,
J119,1,J119 G.I. coin door (string 5),Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,Molex,0026604030,J119 G.I. coin door (string 5),https://www.digikey.com/en/products/result?keywords=0026604030,
J120,1,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,Molex,0026604110,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",https://www.digikey.com/en/products/result?keywords=0026604110,
J121,1,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical,Molex,0026604110,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",https://www.digikey.com/en/products/result?keywords=0026604110,
Q9 Q11 Q13 Q15 Q17,5,MMBT4401,Package_TO_SOT_SMD:SOT-23,Diodes Inc,MMBT4401-7-F,NPN emitter follower (triac gate drive),https://www.digikey.com/en/products/detail/diodes-incorporated/MMBT4401-7-F/775841,
Q10 Q12 Q14 Q16 Q18,5,BTA16-600CRG,Package_TO_SOT_THT:TO-220-3_Vertical,STMicroelectronics,BTA16-600CRG,"Triac 16 A 600 V, 4-quadrant (Igt 25/50 mA), insulated TO-220AB",https://www.digikey.com/en/products/detail/stmicroelectronics/BTA16-600CRG/669145,
R7 R10 R13 R16 R19,5,27,Resistor_SMD:R_2512_6332Metric,Yageo,RC2512JK-0727RL,Resistor 27 R 5% 1 W 2512 (triac gate),https://www.digikey.com/en/products/result?keywords=RC2512JK-0727RL,
R8 R11 R14 R17 R20,5,470,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07470RL,"Resistor 470R 1% 0.125 W, 0805",https://www.digikey.com/en/products/result?keywords=RC0805FR-07470RL,
W1,1,0R,Resistor_SMD:R_2512_6332Metric,Yageo,RC2512JK-070RL,0 R link 2512: G.I. return bus (triac MT1 / J115 returns) to the logic ground reference (OEM: J115-1 GND REF at the transformer),https://www.digikey.com/en/products/result?keywords=RC2512JK-070RL,
F103-F116 clips,28,FUSECLIP,Mechanical,Keystone,3517,"Fuse clip 5 x 20 mm PCB mount, 15 A, tin (2 per fuse)",https://www.digikey.com/en/products/detail/keystone-electronics/3517/316010,
Heatsinks Q10 Q12 Q14 Q16 Q18,5,HS7020,Mechanical,Boyd (Aavid),7020BG,"Heatsink TO-220 bolt-on narrow channel with folded-back fins, 8.7 C/W, 33.0 x 11.9 x 36.8 mm, no PCB tabs (device screw only; #6 / M3 hole of the GBJ / GBU bridges)",https://www.digikey.com/en/products/detail/aavid-thermal-division-of-boyd-corporation/7020BG/1625705,
