Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
C30,C30,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C32,C32,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
C59,C59,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C60,C60,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C61,C61,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C62,C62,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C63,C63,1,4700uF 35V,EGPD350ELL472MM30H,NCC(Nippon Chemi-Con),Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C443892,Extended,Through-hole/manual,
C64,C64,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
C65,C65,1,1000uF 100V,NHA100V1000M18*40 LO,SamYoung Electronics,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,C3445915,Extended,Through-hole/manual,
D101,D101,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D102,D102,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D103,D103,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D104,D104,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
F101,F101,1,Empty fuse holder,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,
F102,F102,1,Empty fuse holder,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,
F103,F103,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F103_HOLDER,F103,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F104,F104,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F104_HOLDER,F104,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F105,F105,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F105_HOLDER,F105,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F106,F106,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F106_HOLDER,F106,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F107,F107,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F107_HOLDER,F107,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F108,F108,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F108_HOLDER,F108,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F109,F109,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F109_HOLDER,F109,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F110,F110,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F110_HOLDER,F110,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F111,F111,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F111_HOLDER,F111,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F113,F113,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F113_HOLDER,F113,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F114,F114,1,8A,0217008.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C2936126,Extended,Through-hole/manual,
F114_HOLDER,F114,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F115,F115,1,0.75A T,5.250.0750A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381743,Extended,Through-hole/manual,
F115_HOLDER,F115,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F116,F116,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F116_HOLDER,F116,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
J101,J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),640445-7,TE Connectivity,wpc_cost:TE_J101_Prepared,C305801,Extended,Through-hole/manual,
J102,J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),640445-9,TE Connectivity,wpc_cost:TE_J102_Prepared,C305802,Extended,Through-hole/manual,
J103,J103,1,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J104,J104,1,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J105,J105,1,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J106,J106,1,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J107,J107,1,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",640445-6,TE Connectivity,wpc_cost:TE_J107_Prepared,C86500,Extended,Through-hole/manual,
J108,J108,1,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual,
J109,J109,1,J109 spare (N/C),640445-7,TE Connectivity,wpc_cost:TE_J109_Prepared,C305801,Extended,Through-hole/manual,
J110,J110,1,J110 spare (N/C),640445-9,TE Connectivity,wpc_cost:TE_J110_Prepared,C305802,Extended,Through-hole/manual,
J111,J111,1,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",22232051,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,C588986,Extended,Through-hole/manual,
J112,J112,1,J112 xformer 9.8VAC (Wht-Grn),26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J113,J113,1,34-pin ribbon to CPU J211,EH254V-12-34P,XFCN,wpc_cost:XFCN_EH254V_12_34P,C5200275,Extended,Through-hole/manual,
J114,J114,1,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",640445-7,TE Connectivity,wpc_cost:TE_J114_Prepared,C305801,Extended,Through-hole/manual,
J115,J115,2,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",640445-6,TE Connectivity,wpc_cost:TE_J115_Prepared,C86500,Extended,Through-hole/manual,Two 640445-6 headers: J115A pins 1-6; J115B pins 7-12. Align friction walls; dress seam if necessary. Preserve pin-1/key mapping.
J116,J116,1,J116 +12V power (unregulated) / GND / +5V to coin door,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J117,J117,1,J117 +12V power (unregulated) / GND / +5V to DMD controller,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J118,J118,1,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J119,J119,1,J119 G.I. coin door (string 5),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual,
J120,J120,1,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",1-640445-3,TE Connectivity,wpc_cost:TE_J120_Prepared,C592598,Extended,Through-hole/manual,Trim 13-position 1-640445-3 to 11: remove pins/body 12-13 at far end. Preserve pin 1 and friction wall; deburr.
J121,J121,1,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",1-640445-3,TE Connectivity,wpc_cost:TE_J121_Prepared,C592598,Extended,Through-hole/manual,Trim 13-position 1-640445-3 to 11: remove pins/body 12-13 at far end. Preserve pin 1 and friction wall; deburr.
J122,J122,1,J122 Sol 25-28 drive + tie-back (playfield),640445-9,TE Connectivity,wpc_cost:TE_J122_Prepared,C305802,Extended,Through-hole/manual,
J123,J123,1,"J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J124,J124,1,J124 Sol 25-28 drive (backbox),26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J125,J125,1,J125 Sol 17-24 drive (backbox flashers),640445-9,TE Connectivity,wpc_cost:TE_J125_Prepared,C305802,Extended,Through-hole/manual,
J126,J126,1,J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG),1-640445-3,TE Connectivity,wpc_cost:TE_J126_Prepared,C592598,Extended,Through-hole/manual,
J127,J127,1,J127 Sol 9-16 drive (playfield),640445-9,TE Connectivity,wpc_cost:TE_J127_Prepared,C305802,Extended,Through-hole/manual,
J128,J128,1,"J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J129,J129,1,"J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J130,J130,1,J130 Sol 1-8 drive (playfield),640445-9,TE Connectivity,wpc_cost:TE_J130_Prepared,C305802,Extended,Through-hole/manual,
J131,J131,1,"J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J132,J132,1,"J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J133,J133,1,J133 lamp rows (cabinet),1-640456-0,TE Connectivity,wpc_cost:TE_J133_Prepared,C94118,Extended,Through-hole/manual,"Trim 10-position 1-640456-0 to 9: remove final position 10. Preserve pin 1, key and friction wall; deburr."
J134,J134,1,J134 lamp rows (spare),1-640456-0,TE Connectivity,wpc_cost:TE_J134_Prepared,C94118,Extended,Through-hole/manual,"Trim 10-position 1-640456-0 to 9: remove final position 10. Preserve pin 1, key and friction wall; deburr."
J135,J135,1,J135 lamp rows (playfield),1-640456-0,TE Connectivity,wpc_cost:TE_J135_Prepared,C94118,Extended,Through-hole/manual,"Trim 10-position 1-640456-0 to 9: remove final position 10. Preserve pin 1, key and friction wall; deburr."
J136,J136,1,J136 lamp column 8 (cabinet),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual,
J137,J137,1,J137 lamp columns (playfield),640445-9,TE Connectivity,wpc_cost:TE_J137_Prepared,C305802,Extended,Through-hole/manual,
J138,J138,1,J138 lamp columns (backbox),640445-9,TE Connectivity,wpc_cost:TE_J138_Prepared,C305802,Extended,Through-hole/manual,
Q10,Q10,1,BTA08-600CRG,BTA08-600CRG,STMicroelectronics,Package_TO_SOT_THT:TO-220-3_Vertical,C9102,Extended,Through-hole/manual,
Q12,Q12,1,BTA08-600CRG,BTA08-600CRG,STMicroelectronics,Package_TO_SOT_THT:TO-220-3_Vertical,C9102,Extended,Through-hole/manual,
Q14,Q14,1,BTA08-600CRG,BTA08-600CRG,STMicroelectronics,Package_TO_SOT_THT:TO-220-3_Vertical,C9102,Extended,Through-hole/manual,
Q16,Q16,1,BTA08-600CRG,BTA08-600CRG,STMicroelectronics,Package_TO_SOT_THT:TO-220-3_Vertical,C9102,Extended,Through-hole/manual,
Q18,Q18,1,BTA08-600CRG,BTA08-600CRG,STMicroelectronics,Package_TO_SOT_THT:TO-220-3_Vertical,C9102,Extended,Through-hole/manual,
