Upload_designator,Native_reference,Source_BOM_designator,LCSC_part,Assembly,Native_footprint,Actual_X_mm,Actual_Y_mm,CPL_X_mm,CPL_Y_mm,Rotation_deg,Native_rotation_deg,Library_rotation_offset_deg,Center_basis,Assembly_note
B19,B19,B19,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,420.850000,-157.178000,420.850000,-157.178000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
BR3,BR3,BR3,C906984,THT,wpc_cost:ONSEMI_GBPC2506W_18mm_formed,251.988000,-23.304000,251.988000,-23.304000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,"Form wire leads to 18 x 18 mm pattern; + to pad 1, - to pad 2, AC to 3/4; preserve 0.12 mm standoff. New body max 11.23 mm. M4x20 screw replaces M4x16. No public library; manually preserve native +, minus, AC and formed-lead mapping."
C2,C2,C2,C109394,THT,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,125.000000,-58.700000,125.000000,-58.700000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C4,C4,C4,C109394,THT,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,254.418000,-81.423000,254.418000,-81.423000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C5,C5,C5,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,324.583000,-48.345000,324.583000,-48.345000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C6,C6,C6,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,399.694000,-107.527000,399.694000,-107.527000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C7,C7,C7,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,361.049000,-107.863000,361.049000,-107.863000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C8,C8,C8,C3445915,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,324.000000,-93.000000,324.000000,-93.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C9,C9,C9,C109394,THT,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,241.868000,-81.395000,241.868000,-81.395000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C11,C11,C11,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,322.000000,-23.000000,322.000000,-23.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C12,C12,C12,C109394,THT,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,113.847000,-68.390000,113.847000,-68.390000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C13,C13,C13,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,337.175000,-172.686000,337.175000,-172.686000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C14,C14,C14,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,333.165000,-172.686000,333.165000,-172.686000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C15,C15,C15,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,354.544000,-161.646000,354.544000,-161.646000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C16,C16,C16,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,358.506000,-172.686000,358.506000,-172.686000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C17,C17,C17,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,374.293000,-164.875000,374.293000,-164.875000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C18,C18,C18,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,370.315000,-164.872000,370.315000,-164.872000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C19,C19,C19,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,391.636000,-172.686000,391.636000,-172.686000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C20,C20,C20,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,395.597000,-172.686000,395.597000,-172.686000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C21,C21,C21,C1710,SMT,Capacitor_SMD:C_0805_2012Metric,86.000000,-73.600000,86.000000,-73.600000,90.000000,90.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C30,C30,C30,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,24.600000,-56.000000,24.600000,-56.000000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C31,C31,C31,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,368.536000,-174.232000,368.536000,-174.232000,270.000000,270.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C32,C32,C32,C3445915,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,284.000000,-93.000000,284.000000,-93.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C33,C33,C33,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,266.200000,-51.500000,266.200000,-51.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C34,C34,C34,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,266.200000,-46.500000,266.200000,-46.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C35,C35,C35,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,266.400000,-61.200000,266.400000,-61.200000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C36,C36,C36,C49678,SMT,Capacitor_SMD:C_0805_2012Metric,279.000000,-69.000000,279.000000,-69.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C37,C37,C37,C107121,SMT,Capacitor_SMD:C_0805_2012Metric,283.000000,-65.000000,283.000000,-65.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C38,C38,C38,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,271.800000,-51.500000,271.800000,-51.500000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C39,C39,C39,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,140.200000,-61.500000,140.200000,-61.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C40,C40,C40,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,140.200000,-56.500000,140.200000,-56.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C41,C41,C41,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,140.400000,-71.200000,140.400000,-71.200000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C42,C42,C42,C73142,SMT,Capacitor_SMD:C_0805_2012Metric,153.000000,-79.000000,153.000000,-79.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C43,C43,C43,C62774,SMT,Capacitor_SMD:C_0805_2012Metric,157.000000,-75.000000,157.000000,-75.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C44,C44,C44,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,145.800000,-61.500000,145.800000,-61.500000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C45,C45,C45,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,271.600000,-61.200000,271.600000,-61.200000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C46,C46,C46,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,276.000000,-58.000000,276.000000,-58.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C47,C47,C47,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,268.480000,-55.450000,268.480000,-55.450000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C48,C48,C48,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,269.520000,-54.350000,269.520000,-54.350000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C49,C49,C49,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,261.000000,-51.500000,261.000000,-51.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C50,C50,C50,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,261.000000,-46.500000,261.000000,-46.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C51,C51,C51,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,271.800000,-46.500000,271.800000,-46.500000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C52,C52,C52,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,145.600000,-71.200000,145.600000,-71.200000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C53,C53,C53,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,150.000000,-68.000000,150.000000,-68.000000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C54,C54,C54,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,142.480000,-65.450000,142.480000,-65.450000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C55,C55,C55,C307331,SMT,Capacitor_SMD:C_0402_1005Metric,143.520000,-64.350000,143.520000,-64.350000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C56,C56,C56,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,135.000000,-61.500000,135.000000,-61.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C57,C57,C57,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,135.000000,-56.500000,135.000000,-56.500000,180.000000,180.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C58,C58,C58,C138687,SMT,Capacitor_SMD:C_1210_3225Metric,145.800000,-56.500000,145.800000,-56.500000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
C59,C59,C59,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,324.583000,-68.345000,324.583000,-68.345000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C60,C60,C60,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,399.694000,-127.527000,399.694000,-127.527000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C61,C61,C61,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,361.049000,-127.863000,361.049000,-127.863000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C62,C62,C62,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,342.000000,-16.000000,342.000000,-16.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C63,C63,C63,C443892,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,28.000000,-75.000000,28.000000,-75.000000,0.000000,0.000000,0,Radial capacitor F.Fab body-circle center,
C64,C64,C64,C3445915,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,344.000000,-93.000000,344.000000,-93.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
C65,C65,C65,C3445915,THT,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,304.000000,-93.000000,304.000000,-93.000000,270.000000,270.000000,0,Radial capacitor F.Fab body-circle center,
D1,D1,D1,C95872,SMT,Diode_SMD:D_SMA,220.385000,-156.116000,220.385000,-156.116000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D2,D2,D2,C95872,SMT,Diode_SMD:D_SMA,220.385000,-182.522000,220.385000,-182.522000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D3,D3,D3,C95872,SMT,Diode_SMD:D_SMA,220.385000,-208.918000,220.385000,-208.918000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D5,D5,D5,C460944,SMT,Diode_SMD:D_SMC,163.382000,-156.209000,163.382000,-156.209000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D6,D6,D6,C460944,SMT,Diode_SMD:D_SMC,163.382000,-182.615000,163.382000,-182.615000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D7,D7,D7,C460944,SMT,Diode_SMD:D_SMC,163.382000,-209.023000,163.382000,-209.023000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D8,D8,D8,C460944,SMT,Diode_SMD:D_SMC,163.382000,-235.427000,163.382000,-235.427000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D9,D9,D9,C95872,SMT,Diode_SMD:D_SMA,196.913000,-156.116000,196.913000,-156.116000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D10,D10,D10,C95872,SMT,Diode_SMD:D_SMA,196.913000,-182.522000,196.913000,-182.522000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D11,D11,D11,C95872,SMT,Diode_SMD:D_SMA,196.913000,-208.918000,196.913000,-208.918000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D12,D12,D12,C95872,SMT,Diode_SMD:D_SMA,196.913000,-235.334000,196.913000,-235.334000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D17,D17,D17,C460944,SMT,Diode_SMD:D_SMC,244.108000,-156.209000,244.108000,-156.209000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D18,D18,D18,C460944,SMT,Diode_SMD:D_SMC,244.108000,-182.615000,244.108000,-182.615000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D19,D19,D19,C460944,SMT,Diode_SMD:D_SMC,244.108000,-209.023000,244.108000,-209.023000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D20,D20,D20,C460944,SMT,Diode_SMD:D_SMC,244.108000,-235.427000,244.108000,-235.427000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D21,D21,D21,C460944,SMT,Diode_SMD:D_SMC,265.904000,-156.209000,265.904000,-156.209000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D22,D22,D22,C460944,SMT,Diode_SMD:D_SMC,265.904000,-182.615000,265.904000,-182.615000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D23,D23,D23,C460944,SMT,Diode_SMD:D_SMC,265.904000,-209.023000,265.904000,-209.023000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D24,D24,D24,C460944,SMT,Diode_SMD:D_SMC,265.904000,-235.427000,265.904000,-235.427000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D25,D25,D25,C460944,SMT,Diode_SMD:D_SMC,286.861000,-159.827000,286.861000,-159.827000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D26,D26,D26,C460944,SMT,Diode_SMD:D_SMC,286.861000,-185.412000,286.861000,-185.412000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D27,D27,D27,C460944,SMT,Diode_SMD:D_SMC,286.861000,-210.977000,286.861000,-210.977000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D28,D28,D28,C460944,SMT,Diode_SMD:D_SMC,286.861000,-236.556000,286.861000,-236.556000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D29,D29,D29,C460944,SMT,Diode_SMD:D_SMC,311.422000,-159.827000,311.422000,-159.827000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D30,D30,D30,C460944,SMT,Diode_SMD:D_SMC,311.422000,-185.412000,311.422000,-185.412000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D31,D31,D31,C460944,SMT,Diode_SMD:D_SMC,311.422000,-210.977000,311.422000,-210.977000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D32,D32,D32,C460944,SMT,Diode_SMD:D_SMC,311.422000,-236.556000,311.422000,-236.556000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D33,D33,D33,C81598,SMT,Diode_SMD:D_SOD-123,352.108000,-166.520000,352.108000,-166.520000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D34,D34,D34,C81598,SMT,Diode_SMD:D_SOD-123,351.912000,-170.842000,351.912000,-170.842000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D38,D38,D38,C95872,SMT,Diode_SMD:D_SMA,220.385000,-235.334000,220.385000,-235.334000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,
D101,D101,D101,C5143116,THT,wpc_cost:TO220_Schottky_AKA_5772,350.000000,-54.300000,350.000000,-54.300000,180.000000,180.000000,0,Native F.Fab body-outline bounding-box center, Anodes are symmetric; public TO-220 3D model is below PCB / wrongly framed. Retain native tab direction and require manual tab-to-heatsink review.
D102,D102,D102,C5143116,THT,wpc_cost:TO220_Schottky_AKA_5772,376.000000,-78.300000,376.000000,-78.300000,180.000000,180.000000,0,Native F.Fab body-outline bounding-box center, Anodes are symmetric; public TO-220 3D model is below PCB / wrongly framed. Retain native tab direction and require manual tab-to-heatsink review.
D103,D103,D103,C5143116,THT,wpc_cost:TO220_Schottky_AKA_5772,350.000000,-31.700000,350.000000,-31.700000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center, Anodes are symmetric; public TO-220 3D model is below PCB / wrongly framed. Retain native tab direction and require manual tab-to-heatsink review.
D104,D104,D104,C5143116,THT,wpc_cost:TO220_Schottky_AKA_5772,363.400000,-16.700000,363.400000,-16.700000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center, Anodes are symmetric; public TO-220 3D model is below PCB / wrongly framed. Retain native tab direction and require manual tab-to-heatsink review.
D105,D105,D105,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,290.000000,-114.000000,290.000000,-114.000000,270.000000,0.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 0 deg.
D106,D106,D106,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,311.000000,-114.000000,311.000000,-114.000000,90.000000,180.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 180 deg.
D107,D107,D107,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,290.000000,-128.000000,290.000000,-128.000000,90.000000,180.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 180 deg.
D108,D108,D108,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,311.000000,-128.000000,311.000000,-128.000000,270.000000,0.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 0 deg.
D109,D109,D109,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,281.000000,-12.000000,281.000000,-12.000000,270.000000,0.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 0 deg.
D110,D110,D110,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,302.000000,-12.000000,302.000000,-12.000000,90.000000,180.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 180 deg.
D111,D111,D111,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,281.000000,-26.000000,281.000000,-26.000000,90.000000,180.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 180 deg.
D112,D112,D112,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,302.000000,-26.000000,302.000000,-26.000000,270.000000,0.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 0 deg.
D113,D113,D113,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,17.000000,-40.000000,17.000000,-40.000000,180.000000,270.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 270 deg.
D114,D114,D114,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,30.400000,-40.000000,30.400000,-40.000000,180.000000,270.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 270 deg.
D115,D115,D115,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,17.000000,-19.000000,17.000000,-19.000000,0.000000,90.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 90 deg.
D116,D116,D116,C235758,SMT,wpc_cost:D2PAK_Schottky_AKA,30.400000,-19.000000,30.400000,-19.000000,0.000000,90.000000,-90,Native KiCad body origin; angle corrected separately against exact purchased library, CPL rotation includes -90 deg LCSC library correction; native PCB rotation is 90 deg.
F101,F101,F101,C268204,THT,wpc_cost:HONGJU_FH1_200CK_G,165.142000,-64.716000,165.142000,-64.716000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,
F102,F102,F102,C268204,THT,wpc_cost:HONGJU_FH1_200CK_G,180.483000,-64.716000,180.483000,-64.716000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,
F103,F103,F103,C142824,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,196.494000,-64.716000,196.794000,-64.716000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,Insert F103 into FH103. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F104,F104,F104,C142824,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,211.834000,-64.716000,212.134000,-64.716000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,Insert F104 into FH104. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F105,F105,F105,C142824,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,227.343000,-64.716000,227.643000,-64.716000,270.000000,270.000000,0,Native F.Fab body-outline bounding-box center,Insert F105 into FH105. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F106,F106,F106,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,32.945000,-233.211000,33.245000,-233.211000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F106 into FH106. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F107,F107,F107,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,32.945000,-218.624000,33.245000,-218.624000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F107 into FH107. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F108,F108,F108,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,33.095000,-204.038000,33.395000,-204.038000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F108 into FH108. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F109,F109,F109,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,77.793000,-218.624000,78.093000,-218.624000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F109 into FH109. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F110,F110,F110,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,77.793000,-233.211000,78.093000,-233.211000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F110 into FH110. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F111,F111,F111,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,400.951000,-46.525000,401.251000,-46.525000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F111 into FH111. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
F112,F112,F112,C3014110,SMT,wpc_cost:TLC_TA_2410_Fuse,400.951000,-61.614000,400.951000,-61.614000,0.000000,0.000000,0,Native KiCad body origin; angle corrected separately against exact purchased library,TLC TA7 soldered 2410 time-lag 7 A fuse; replacement requires desoldering. No holder. Do not up-rate.
F113,F113,F113,C5381754,Fuse cartridge insertion,wpc_cost:HONGJU_FH1_200CK_G,400.951000,-76.451000,401.251000,-76.451000,0.000000,0.000000,0,Native F.Fab body-outline bounding-box center,Insert F113 into FH113. CPL X +0.3 mm is a stacked-part selection offset only; actual position is holder center.
