"Refs","Value","Footprint","Manufacturer","MPN","Distributor link","Unit price USD (DigiKey qty 1)","Description"
"J109","J109 spare (N/C)","Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical","Molex","0026604007","https://www.digikey.com/en/products/result?keywords=0026604007","","J109 spare (N/C)"
"J110","J110 spare (N/C)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J110 spare (N/C)"
"J111","J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical","Molex","0022232051","https://www.digikey.com/en/products/result?keywords=0022232051","","J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)"
"J112","J112 xformer 9.8VAC (Wht-Grn)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J112 xformer 9.8VAC (Wht-Grn)"
"J113","34-pin ribbon to CPU J211","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","3M","30334-5002HB","https://www.digikey.com/en/products/detail/3m/30334-5002HB/1237402","","J113 34-pin 2x17 box header (ribbon to CPU J211)"
"J114","J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver","Connector_Molex:Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical","Molex","0026604007","https://www.digikey.com/en/products/result?keywords=0026604007","","J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver"
"J115","J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF","Connector_Molex:Molex_KK-396_A-41791-0012_1x12_P3.96mm_Vertical","Molex","0026604012","https://www.digikey.com/en/products/result?keywords=0026604012","","J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF"
"J116","J116 +12V power (unregulated) / GND / +5V to coin door","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical","Molex","0026604004","https://www.digikey.com/en/products/result?keywords=0026604004","","J116 +12V power (unregulated) / GND / +5V to coin door"
"J117","J117 +12V power (unregulated) / GND / +5V to DMD controller","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical","Molex","0026604004","https://www.digikey.com/en/products/result?keywords=0026604004","","J117 +12V power (unregulated) / GND / +5V to DMD controller"
"J118","J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical","Molex","0026604004","https://www.digikey.com/en/products/result?keywords=0026604004","","J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)"
"J119","J119 G.I. coin door (string 5)","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","Molex","0026604003","https://www.digikey.com/en/products/result?keywords=0026604003","","J119 G.I. coin door (string 5)"
"J120","J120 G.I. strings 1-5 (backbox harness uses strings 2,3)","Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical","Molex","0026604011","https://www.digikey.com/en/products/result?keywords=0026604011","","J120 G.I. strings 1-5 (backbox harness uses strings 2,3)"
"J121","J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)","Connector_Molex:Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical","Molex","0026604011","https://www.digikey.com/en/products/result?keywords=0026604011","","J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)"
"J122","J122 Sol 25-28 drive + tie-back (playfield)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J122 Sol 25-28 drive + tie-back (playfield)"
"J123","J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)"
"J124","J124 Sol 25-28 drive (backbox)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J124 Sol 25-28 drive (backbox)"
"J125","J125 Sol 17-24 drive (backbox flashers)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J125 Sol 17-24 drive (backbox flashers)"
"J126","J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical","Molex","0026604013","https://www.digikey.com/en/products/result?keywords=0026604013","","J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG)"
"J127","J127 Sol 9-16 drive (playfield)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J127 Sol 9-16 drive (playfield)"
"J128","J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)"
"J129","J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)"
"J130","J130 Sol 1-8 drive (playfield)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J130 Sol 1-8 drive (playfield)"
"J131","J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)"
"J132","J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)","Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical","Molex","0026604005","https://www.digikey.com/en/products/result?keywords=0026604005","","J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)"
"J133","J133 lamp rows (cabinet)","Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical","Molex","0022232091","https://www.digikey.com/en/products/result?keywords=0022232091","","J133 lamp rows (cabinet)"
"J134","J134 lamp rows (spare)","Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical","Molex","0022232091","https://www.digikey.com/en/products/result?keywords=0022232091","","J134 lamp rows (spare)"
"J135","J135 lamp rows (playfield)","Connector_Molex:Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical","Molex","0022232091","https://www.digikey.com/en/products/result?keywords=0022232091","","J135 lamp rows (playfield)"
"J136","J136 lamp column 8 (cabinet)","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","Molex","0026604003","https://www.digikey.com/en/products/result?keywords=0026604003","","J136 lamp column 8 (cabinet)"
"J137","J137 lamp columns (playfield)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J137 lamp columns (playfield)"
"J138","J138 lamp columns (backbox)","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","Molex","0026604009","https://www.digikey.com/en/products/detail/molex/0026604090/79784","0.95","J138 lamp columns (backbox)"
"L1,L2","10uH","Inductor_SMD:L_Bourns_SRP1245A","Bourns","SRP1265A-100M","https://www.digikey.com/en/products/detail/bourns-inc/SRP1265A-100M/4876620","","Inductor 10 uH 10 A (SRP1265A-100M)"
"LED1,LED2,LED4-LED7","LED red","LED_SMD:LED_0805_2012Metric","Lite-On","LTST-C170KRKT","https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779","0.18","LED red 0805, +12V fused indicator,LED red 0805, +12V indicator,LED red 0805, +12VU indicator,LED red 0805, +18V indicator,LED red 0805, +20V indicator,LED red 0805, +5V indicator"
"LED3","LED red (ZC)","LED_SMD:LED_0805_2012Metric","Lite-On","LTST-C170KRKT","https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779","0.18","LED red 0805, zero-cross activity"
"Q9,Q11,Q13,Q15,Q17","MMBT4401","Package_TO_SOT_SMD:SOT-23","Diodes Inc","MMBT4401-7-F","https://www.digikey.com/en/products/detail/diodes-incorporated/MMBT4401-7-F/775841","","NPN emitter follower (triac gate drive)"
"Q10,Q12,Q14,Q16,Q18","BTA16-600CRG","Package_TO_SOT_THT:TO-220-3_Vertical","STMicroelectronics","BTA16-600CRG","https://www.digikey.com/en/products/detail/stmicroelectronics/BTA16-600CRG/669145","","Triac 16 A 600 V, 4-quadrant (Igt 25/50 mA), insulated TO-220AB"
"Q20,Q22,Q24,Q26,Q28,Q30,Q32,Q34,Q36,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q64,Q66,Q68,Q70,Q76,Q78,Q80,Q82","IRLR3110ZTRPBF","Package_TO_SOT_SMD:TO-252-2","Infineon","IRLR3110ZTRPBF","https://www.digikey.com/en/products/detail/infineon-technologies/IRLR3110ZTRPBF/1928415","1.90","N-MOSFET 100 V 63 A 14 mOhm @10 V / 16 mOhm @4.5 V logic-level, DPAK (TO-252)"
"Q83-Q90","IRLR024NTRPBF","Package_TO_SOT_SMD:TO-252-2","Infineon","IRLR024NTRPBF","https://www.digikey.com/en/products/detail/infineon-technologies/IRLR024NTRPBF/812549","1.02","N-MOSFET 55 V 17 A 65 mOhm @10 V / 40 mOhm @4.5 V logic-level, DPAK (TO-252)"
"Q91-Q98","IRFR5305TRPBF","Package_TO_SOT_SMD:TO-252-2","Infineon","IRFR5305TRPBF","https://www.digikey.com/en/products/detail/infineon-technologies/IRFR5305TRPBF/811407","1.98","P-MOSFET -55 V -31 A 65 mOhm @-10 V, DPAK (TO-252)"
"R3,R4,R6,R9,R12,R15,R18,R21,R23,R27,R31,R35,R39,R43,R47,R51,R55,R59,R63,R67,R71,R75,R79,R83,R87,R91,R95,R99,R126,R128,R130,R132,R134,R136,R138,R140,R142-R149,R197,R301-R308","10K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0710KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-0710KL","","Resistor 10K 1% 0.125 W, 0805,Resistor 10K 1% 0805 (ZC sample of the fused 9 VAC leg)"
"R7,R10,R13,R16,R19","27","Resistor_SMD:R_2512_6332Metric","Yageo","RC2512JK-0727RL","https://www.digikey.com/en/products/result?keywords=RC2512JK-0727RL","","Resistor 27 R 5% 1 W 2512 (triac gate)"
"R8,R11,R14,R17,R20","470","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07470RL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07470RL","","Resistor 470R 1% 0.125 W, 0805"
"R22,R26,R30,R34,R38,R42,R46,R50,R54,R58,R62,R66,R70,R74,R78,R82,R86,R90,R94,R98,R127,R129,R131,R133,R135,R137,R139,R141,R155,R157,R159,R161,R165,R167,R169,R171","100","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07100RL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07100RL","","Resistor 100R 1% 0.125 W, 0805"
"R150-R153,R172-R175","0.22R","Resistor_SMD:R_2512_6332Metric","Yageo","RL2512FK-070R22L","https://www.digikey.com/en/products/detail/yageo/RL2512FK-070R22L/2827691","","Resistor 0.22 R 1% 1 W current sense, 2512"
"R154,R156,R158,R160,R162,R164,R166,R168,R170,R177,R179,R181,R183,R185,R187,R189,R191,R193","1K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-071KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-071KL","","LED series resistor 1K,Resistor 1K 1% 0.125 W, 0805"
"R176,R178,R180,R182,R184,R186,R188,R190,R194,R196,R250,R251,R253-R256","1.5K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-071K5L","https://www.digikey.com/en/products/result?keywords=RC0805FR-071K5L","","LED series resistor 1.5K,Resistor 1K5 1% 0.125 W, 0805"
"R192","270","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07270RL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07270RL","","LED series resistor 270"
"R206","27K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0727KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-0727KL","","Resistor 27K 1% 0805 (ZC threshold ~0.26 V)"
"R259,R260","15K","Resistor_SMD:R_2512_6332Metric","Yageo","RC2512JK-0715KL","https://www.digikey.com/en/products/result?keywords=RC2512JK-0715KL","","Resistor 15K 1 W 2512 bleeder (R259 || R260 = 7.5 k on ~72 V),Resistor 15K 1 W 2512 bleeder (parallel to R260)"
"R261","118K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07118KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07118KL","","EN/UVLO divider top 118K (start 5.9 V / stop 5.5 V)"
"R262","29.4K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0729K4L","https://www.digikey.com/en/products/result?keywords=RC0805FR-0729K4L","","EN/UVLO divider bottom 29.4K"
"R263,R269","240K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07240KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07240KL","","RT/CLK 240K -> 405 kHz (Rt = 101756 x fsw^-1.008)"
"R264","11.3K","Resistor_SMD:R_0805_2012Metric","Yageo","RT0805BRD0711K3L","https://www.digikey.com/en/products/result?keywords=RT0805BRD0711K3L","","Feedback top 11.3K (Vout = 0.8 V x (1 + Rtop/Rbot), 0.1 % thin film)"
"R265","2.1K","Resistor_SMD:R_0805_2012Metric","Yageo","RT0805BRD072K1L","https://www.digikey.com/en/products/result?keywords=RT0805BRD072K1L","","Feedback bottom 2.1K, 0.1 % thin film"
"R266","33.2K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0733K2L","https://www.digikey.com/en/products/result?keywords=RC0805FR-0733K2L","","Compensation Rc 33.2K (TPS54360B eq. 48)"
"R267","130K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-07130KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-07130KL","","EN/UVLO divider top 130K (start 8.8 V / stop 8.4 V)"
"R268","20K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0720KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-0720KL","","EN/UVLO divider bottom 20K"
"R270","28K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0728KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-0728KL","","Feedback top 28K (Vout = 0.8 V x (1 + Rtop/Rbot))"
"R271","2K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-072KL","https://www.digikey.com/en/products/result?keywords=RC0805FR-072KL","","Feedback bottom 2K"
"R272","42.2K","Resistor_SMD:R_0805_2012Metric","Yageo","RC0805FR-0742K2L","https://www.digikey.com/en/products/result?keywords=RC0805FR-0742K2L","","Compensation Rc 42.2K (TPS54360B eq. 48)"
"SR1,SR2","9x4.7K SIP","Resistor_THT:R_Array_SIP10","Bourns","4610X-101-472LF","https://www.digikey.com/en/products/result?keywords=4610X-101-472LF","","Pull-ups for the ribbon data lines /D0-/D7 (driven by the CPU only during a write),Pull-ups for the seven latch strobes and BLANKING"
"TP1","TP1 +12VU","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +12VU"
"TP2","TP2 +5V","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","","","","0.00","Test point +5V"
