Line,Group_ID,Category,Assembly,References,Native_References,Value_or_Description,Original_MPN,Original_Manufacturer,Selected_MPN,Selected_Manufacturer,DigiKey_Part_Number,Required_Qty_1_Board,Purchase_Qty,Surplus_Qty,DNP,Match_Status,Engineering_Review_Required,Original_Footprint,Notes,Product_URL
48,C1882622,Electronics,SMT,R259 R260,R259 R260,15K,RC2512JK-0715KL,YAGEO,RC2512JK-0715KL,YAGEO,13-RC2512JK-0715KLCT-ND,2,2,0,no,exact,no,Resistor_SMD:R_2512_6332Metric,,https://www.digikey.com/en/products/detail/yageo/RC2512JK-0715KL/5922492
49,C17427,Electronics,SMT,R261,R261,118K,0805W8F1183T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-07118KL,YAGEO,311-118KCRCT-ND,1,1,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-07118KL/727566
50,C273956,Electronics,SMT,R262,R262,29.4K,RC0805FR-0729K4L,YAGEO,RC0805FR-0729K4L,YAGEO,311-29.4KCRCT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0729K4L/727796
51,C17719,Electronics,SMT,R263 R269,R263 R269,49.9K,0805W8F4992T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-0749K9L,YAGEO,311-49.9KCRCT-ND,2,2,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0749K9L/727985
52,C865625,Electronics,SMT,R264,R264,6.65K,RT0805BRD076K65L,YAGEO,RT0805BRD076K65L,YAGEO,YAG4933CT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RT0805BRD076K65L/6617089
53,C865367,Electronics,SMT,R265,R265,2.1K,RT0805BRD072K1L,YAGEO,RT0805BRD072K1L,YAGEO,YAG1852CT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RT0805BRD072K1L/1075782
54,C17633,Electronics,SMT,R266,R266,33K,0805W8F3302T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-0733KL,YAGEO,311-33.0KCRCT-ND,1,1,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0733KL/727863
55,C483008,Electronics,SMT,R267,R267,130K,RC0805FR-07130KL,YAGEO,RC0805FR-07130KL,YAGEO,311-130KCRCT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07130KL/727590
56,C4328,Electronics,SMT,R268,R268,20K,0805W8F2002T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-0720KL,YAGEO,311-20.0KCRCT-ND,1,1,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0720KL/730667
57,C706223,Electronics,SMT,R270,R270,18K,RT0805BRD0718KL,YAGEO,RT0805BRD0718KL,YAGEO,YAG1801CT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RT0805BRD0718KL/1075655
58,C865384,Electronics,SMT,R271,R271,2K,RT0805BRD072KL,YAGEO,RT0805BRD072KL,YAGEO,YAG1859CT-ND,1,1,0,no,exact,no,Resistor_SMD:R_0805_2012Metric,,https://www.digikey.com/en/products/detail/yageo/RT0805BRD072KL/1075799
59,C17686,Electronics,SMT,R272,R272,42.2K,0805W8F4222T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-0742K2L,YAGEO,311-42.2KCRCT-ND,1,1,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-0742K2L/727949
60,C17673,Electronics,SMT,R310 R311 R312 R313 R314 R315 R316 R317 R318 R319 R320 R321 R322 R323 R324 R325,R310 R311 R312 R313 R314 R315 R316 R317 R318 R319 R320 R321 R322 R323 R324 R325,4.7K,0805W8F4701T5E,UNI-ROYAL(Uniroyal Elec),RC0805FR-074K7L,YAGEO,311-4.70KCRCT-ND,16,16,0,no,candidate_parametric,yes,Resistor_SMD:R_0805_2012Metric,"Yageo RC0805 thick-film candidate: same resistance, +/-1%, 1/8W, 0805. Review working voltage, pulse loading and temperature coefficient. Quote only.",https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929
61,C705606,Electronics,SMT,R326,R326,13m,RL2512FK-070R013L,YAGEO,WSL2512R0130FEA,Vishay Dale,541-10124-1-ND,1,1,0,no,candidate,yes,Resistor_SMD:R_2512_6332Metric,"13mOhm +/-1% 1W 2512 metal-element current-sense resistor; compare temperature coefficient, pulse energy and terminal geometry to Yageo RL2512 before use.",https://www.digikey.com/en/products/detail/vishay-dale/WSL2512R0130FEA/9758392
62,C705608,Electronics,SMT,R327,R327,33m,RL2512FK-070R033L,YAGEO,WSL2512R0330FEA,Vishay Dale,WSLG-.033CT-ND,1,1,0,no,candidate,yes,Resistor_SMD:R_2512_6332Metric,"33mOhm +/-1% 1W 2512 metal-element current-sense resistor; compare temperature coefficient, pulse energy and terminal geometry to Yageo RL2512 before use.",https://www.digikey.com/en/products/detail/vishay-dale/WSL2512R0330FEA/712566
63,C2878759,Electronics,SMT,U1 U2 U3 U4 U5 U18,U1 U2 U3 U4 U5 U18,74HCT574,SN74HCT574NSR,Texas Instruments,SN74HCT574NSR,Texas Instruments,296-31843-1-ND,6,6,0,no,exact,no,Package_SO:SO-20_5.3x12.6mm_P1.27mm,,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT574NSR/3506079
64,C7948,Electronics,SMT,U6 U15 U16,U6 U15 U16,LM339DR,LM339DR,Texas Instruments,LM339DR,Texas Instruments,296-1013-1-ND,3,3,0,no,exact,no,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,https://www.digikey.com/en/products/detail/texas-instruments/LM339DR/404835
65,C6772,Electronics,SMT,U9,U9,74HCT240,SN74HCT240NSR,Texas Instruments,SN74HCT240NSR,Texas Instruments,296-12899-1-ND,1,1,0,no,exact,no,Package_SO:SO-20_5.3x12.6mm_P1.27mm,,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT240NSR/476060
66,C352961,Electronics,SMT,U10 U11 U12 U13,U10 U11 U12 U13,74HCT74,SN74HCT74DR,Texas Instruments,SN74HCT74DR,Texas Instruments,296-1211-1-ND,4,4,0,no,exact,no,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT74DR/276854
67,C165895,Electronics,SMT,U19,U19,TBD62083AFWG,"TBD62083AFWG,EL",TOSHIBA,"TBD62083AFWG,EL",Toshiba Semiconductor and Storage,TBD62083AFWGELCT-ND,1,1,0,no,exact,no,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TBD62083AFWG-EL/5514124
68,C22397842,Electronics,SMT,U20 U21,U20 U21,TPS552872QWRYQRQ1,TPS552872QWRYQRQ1,Texas Instruments,TPS552872QWRYQRQ1,Texas Instruments,296-TPS552872QWRYQRQ1CT-ND,2,2,0,no,exact,no,wpc_cost:TI_RYQ0021B_5x3mm,,https://www.digikey.com/en/products/detail/texas-instruments/TPS552872QWRYQRQ1/21737567
69,C189505,Electronics,SMT,W1,W1,0R,RC2512JK-070RL,YAGEO,RC2512JK-070RL,YAGEO,YAG1232CT-ND,1,1,0,no,exact,no,Resistor_SMD:R_2512_6332Metric,,https://www.digikey.com/en/products/detail/yageo/RC2512JK-070RL/4340585
70,HS7020,Hardware,Mechanical/manual,HS7020,Q10 Q12 Q14 Q16 Q18,"Heatsink TO-220 bolt-on narrow channel with folded-back fins, 8.7 C/W, 33.0 x 11.9 x 36.8 mm, no PCB tabs (device screw only; #6 / M3 hole of the GBJ / GBU bridges)",7020BG,Boyd (Aavid),7020BG,"Boyd Laconia, LLC",7020BG-ND,5,5,0,no,exact,no,Mechanical model attached to parent footprint,,https://www.digikey.com/en/products/detail/boyd-laconia-llc/7020BG/1625705
71,HS6224,Hardware,Mechanical/manual,HS6224,BR3,"Heatsink square basket for bridge rectifiers, 9.4 C/W, 26.92 mm sq x 31.75 mm, 4.14 mm hole (M4 close clearance), sits on the metal base of the GBPC block",6223BG,Boyd (Aavid),6223BG,"Boyd Laconia, LLC",6223BG-ND,1,1,0,no,exact,no,Mechanical model attached to parent footprint,,https://www.digikey.com/en/products/detail/boyd-laconia-llc/6223BG/1625608
72,HS5772,Hardware,Mechanical/manual,HS5772,D101 D102 D103 D104,"TO-220 channel heatsink 13.21 x 12.70 x 19.05 mm, 24.4 C/W natural convection, direct tab mount; electrically live",577202B00000G,Boyd (Aavid),577202B00000G,"Boyd Laconia, LLC",HS107-ND,4,4,0,no,exact,no,Mechanical model attached to parent footprint,,https://www.digikey.com/en/products/detail/boyd-laconia-llc/577202B00000G/108322
73,M3X8,Hardware,Mechanical/manual,M3X8,D101 D102 D103 D104,"Screw M3 x 8 mm pan head Phillips, zinc; BR1 rectifier heatsinks",MPMS 003 0008 PH,BFirst Industrial,MPMS 003 0008 PH,BFirst Industrial,H743-ND,4,100,96,no,exact,no,Mechanical model attached to parent footprint," Purchase quantity uses the lowest published DigiKey price tier of 100 pieces; excess is retained stock, not a 100-board build.",https://www.digikey.com/en/products/detail/bfirst-industrial/MPMS-003-0008-PH/274954
74,M3X12,Hardware,Mechanical/manual,M3X12,Q10 Q12 Q14 Q16 Q18,"Screw M3 x 12 mm pan head Phillips, zinc (heatsink to TO-220 / GBJ / GBU)",MPMS 003 0012 PH,B&F Fastener Supply,MPMS 003 0012 PH,BFirst Industrial,H744-ND,5,100,95,no,exact,no,Mechanical model attached to parent footprint," Purchase quantity uses the lowest published DigiKey price tier of 100 pieces; excess is retained stock, not a 100-board build.",https://www.digikey.com/en/products/detail/bfirst-industrial/MPMS-003-0012-PH/274955
75,M3NUT,Hardware,Mechanical/manual,M3NUT,D101 D102 D103 D104 Q10 Q12 Q14 Q16 Q18,"Hex nut M3, zinc",MHNZ 003,B&F Fastener Supply,MHNZ 003,BFirst Industrial,H762-ND,9,100,91,no,exact,no,Mechanical model attached to parent footprint," Purchase quantity uses the lowest published DigiKey price tier of 100 pieces; excess is retained stock, not a 100-board build.",https://www.digikey.com/en/products/detail/bfirst-industrial/MHNZ-003/274973
76,M4X20,Hardware,Mechanical/manual,M4X20,BR3 H9,"M4 x 20 mm JIS-B1111 Phillips pan screw, zinc steel; thicker GBPC2506W / 6223BG mounting",MJ420MPP,Kanebridge,MPMS 004 0020 PH,BFirst Industrial,H750-ND,1,100,99,no,candidate_mechanical_fit_unverified,yes,Mechanical model attached to parent footprint,"M4x0.7 x20mm zinc pan Phillips screw. Original Kanebridge MJ420MPP not located at DigiKey. Candidate head is 7.82mm diameter and 3.05mm high; verify bridge heatsink screw-head clearance. Public pricing starts at 100 pieces. Purchase quantity uses the lowest published DigiKey price tier of 100 pieces; excess is retained stock, not a 100-board build.",https://www.digikey.com/en/products/detail/bfirst-industrial/MPMS-004-0020-PH/274961
77,M4NUT,Hardware,Mechanical/manual,M4NUT,BR3 H9,"Hex nut M4, zinc",MHNZ 004,B&F Fastener Supply,MHNZ 004,BFirst Industrial,H763-ND,1,100,99,no,exact,no,Mechanical model attached to parent footprint," Purchase quantity uses the lowest published DigiKey price tier of 100 pieces; excess is retained stock, not a 100-board build.",https://www.digikey.com/en/products/detail/bfirst-industrial/MHNZ-004/274974
78,THERMALPASTE,Consumable,Mechanical/manual,THERMALPASTE,All ten heatsink interfaces,"Silicone-free thermal paste, 3 mL syringe; thin bond line at all rectifier/triac heatsink interfaces, consumable per build batch",8616-3ML,MG Chemicals,8616-3ML,MG Chemicals,8616-3ML-ND,1,1,0,no,exact,no,Mechanical model attached to parent footprint,One complete 3mL syringe charged as initial provision for this one-board build. Actual paste consumption is as needed; remaining paste is reusable. No batch spare allowance.,https://www.digikey.com/en/products/detail/mg-chemicals/8616-3ML/4899944
79,H1,Not purchased,DNP or fabricated board feature,H1,H1,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
80,H2,Not purchased,DNP or fabricated board feature,H2,H2,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
81,H3,Not purchased,DNP or fabricated board feature,H3,H3,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
82,H4,Not purchased,DNP or fabricated board feature,H4,H4,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
83,H5,Not purchased,DNP or fabricated board feature,H5,H5,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
84,H6,Not purchased,DNP or fabricated board feature,H6,H6,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
85,H7,Not purchased,DNP or fabricated board feature,H7,H7,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
86,H8,Not purchased,DNP or fabricated board feature,H8,H8,M4,,,,,,0,0,0,yes,DNP_or_board_feature,no,MountingHole:MountingHole_4.3mm_M4,Native design feature; no purchased placement in this variant.,
87,TP1,Not purchased,DNP or fabricated board feature,TP1,TP1,TP1 +12VU,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
88,TP2,Not purchased,DNP or fabricated board feature,TP2,TP2,TP2 +5V,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
89,TP3,Not purchased,DNP or fabricated board feature,TP3,TP3,TP3 +12V,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
90,TP5,Not purchased,DNP or fabricated board feature,TP5,TP5,TP5 GND,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
91,TP6,Not purchased,DNP or fabricated board feature,TP6,TP6,TP6 +50V,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
92,TP7,Not purchased,DNP or fabricated board feature,TP7,TP7,TP7 +20V,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
93,TP8,Not purchased,DNP or fabricated board feature,TP8,TP8,TP8 +18V,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
94,TP9,Not purchased,DNP or fabricated board feature,TP9,TP9,TP9 +5V_RAW,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
95,R198,Not purchased,DNP or fabricated board feature,R198,R198,10K,RC0805FR-0710KL,Yageo,,,,0,0,0,yes,DNP_or_board_feature,no,Resistor_SMD:R_0805_2012Metric,Native design feature; no purchased placement in this variant.,
96,TP4,Not purchased,DNP or fabricated board feature,TP4,TP4,TP4 ZC,,,,,,0,0,0,yes,DNP_or_board_feature,no,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,Native design feature; no purchased placement in this variant.,
97,D35,Not purchased,DNP or fabricated board feature,D35,D35,S1M (DNP),S1M-13-F,Diodes Inc,,,,0,0,0,yes,DNP_or_board_feature,no,Diode_SMD:D_SMA,Native design feature; no purchased placement in this variant.,
98,Q3,Not purchased,DNP or fabricated board feature,Q3,Q3,IPD90N10S4L06ATMA1,IPD90N10S4L06ATMA1,Infineon,,,,0,0,0,yes,DNP_or_board_feature,no,Package_TO_SOT_SMD:TO-252-2,Native design feature; no purchased placement in this variant.,
99,R202,Not purchased,DNP or fabricated board feature,R202,R202,100 (DNP),RC0805FR-07100RL,Yageo,,,,0,0,0,yes,DNP_or_board_feature,no,Resistor_SMD:R_0805_2012Metric,Native design feature; no purchased placement in this variant.,
100,R209,Not purchased,DNP or fabricated board feature,R209,R209,10K (DNP),RC0805FR-0710KL,Yageo,,,,0,0,0,yes,DNP_or_board_feature,no,Resistor_SMD:R_0805_2012Metric,Native design feature; no purchased placement in this variant.,
101,RLY1,Not purchased,DNP or fabricated board feature,RLY1,RLY1,G2RL-2 12V (DNP),G2RL-2 DC12,Omron,,,,0,0,0,yes,DNP_or_board_feature,no,Relay_THT:Relay_DPDT_Omron_G2RL-2,Native design feature; no purchased placement in this variant.,
102,FUSE_COVERS,Added accessory,Manual cover installation,F101_COVER F102_COVER FH103_COVER FH104_COVER FH105_COVER FH106_COVER FH107_COVER FH108_COVER FH109_COVER FH110_COVER FH111_COVER FH113_COVER FH114_COVER FH115_COVER FH116_COVER,F101 F102 F103 F104 F105 F106 F107 F108 F109 F110 F111 F113 F114 F115 F116,Cover for SCHURTER OGN 5x20mm fuse block,Included with FH1-200CK-G,HONGJU,0853.0551,SCHURTER Inc.,486-1960-ND,15,15,0,no,candidate_accessory,yes,Accessory; no independent PCB pads,"One cover per selected 0031.8201 fuse block, including two empty holders. Original Hongju holder includes a cover. SCHURTER OGN drawing associates 0853.0551 with 0031.8201. Verify assembled cover envelope. https://media.digikey.com/pdf/Data%20Sheets/Schurter%20PDFs/DS_486_Fuseholders.pdf",https://www.digikey.com/en/products/detail/schurter-inc/0853-0551/669930
